00:01:56:509 ERROR 26840 --- [tableMetaChecker_1_1] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/hm-user?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/hm-user?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 119960
00:03:56:510 ERROR 26840 --- [tableMetaChecker_1_1] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/hm-user?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/hm-user?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 119987
00:06:53:160  WARN 26840 --- [Thread-5] c.a.nacos.common.notify.NotifyCenter     : [NotifyCenter] Start destroying Publisher
00:06:53:161  WARN 26840 --- [Thread-1] c.a.n.common.http.HttpClientBeanHolder   : [HttpClientBeanHolder] Start destroying common HttpClient
00:06:53:162  WARN 26840 --- [Thread-5] c.a.nacos.common.notify.NotifyCenter     : [NotifyCenter] Destruction of the end
00:06:53:170  WARN 26840 --- [Thread-1] c.a.n.common.http.HttpClientBeanHolder   : [HttpClientBeanHolder] Destruction of the end
00:06:54:737  INFO 26840 --- [SpringContextShutdownHook] c.a.c.n.registry.NacosServiceRegistry    : De-registering from Nacos Server now...
00:06:54:744  INFO 26840 --- [SpringContextShutdownHook] c.a.c.n.registry.NacosServiceRegistry    : De-registration finished.
00:06:55:087  INFO 26840 --- [SpringContextShutdownHook] com.alibaba.nacos.common.remote.client   : Shutdown rpc client, set status to shutdown
00:06:55:088  INFO 26840 --- [SpringContextShutdownHook] com.alibaba.nacos.common.remote.client   : Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@6c6a9ad1[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
00:06:55:089  INFO 26840 --- [SpringContextShutdownHook] com.alibaba.nacos.common.remote.client   : Close current connection 1728832226817_127.0.0.1_65500
00:06:55:093  INFO 26840 --- [nacos-grpc-client-executor-2250] c.a.n.c.remote.client.grpc.GrpcClient    : [1728832226817_127.0.0.1_65500]Ignore complete event,isRunning:false,isAbandon=false
00:06:55:097  INFO 26840 --- [SpringContextShutdownHook] c.a.n.c.remote.client.grpc.GrpcClient    : Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@18310c37[Running, pool size = 4, active threads = 0, queued tasks = 0, completed tasks = 2251]
00:06:55:152  INFO 26840 --- [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource   : {dataSource-1} closing ...
00:06:55:172  INFO 26840 --- [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource   : {dataSource-1} closed
00:06:55:186  INFO 26840 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0x3cb16f0f, L:/26.10.64.202:65426 ! R:/26.10.64.202:8099]
00:06:55:191  INFO 26840 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x3cb16f0f, L:/26.10.64.202:65426 ! R:/26.10.64.202:8099]
00:06:55:192  INFO 26840 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x3cb16f0f, L:/26.10.64.202:65426 ! R:/26.10.64.202:8099]
00:06:55:194  INFO 26840 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x3cb16f0f, L:/26.10.64.202:65426 ! R:/26.10.64.202:8099]
00:06:55:196  INFO 26840 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x3cb16f0f, L:/26.10.64.202:65426 ! R:/26.10.64.202:8099]) will closed
00:06:55:196  INFO 26840 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x3cb16f0f, L:/26.10.64.202:65426 ! R:/26.10.64.202:8099]) will closed
